2026-07-21 08:53:31,880 | INFO | Fraudec | ============================================================
2026-07-21 08:53:31,880 | INFO | Fraudec | Starting Fraudec Data Pipeline
2026-07-21 08:53:31,880 | INFO | Fraudec | ============================================================
2026-07-21 08:53:31,881 | INFO | Fraudec | Running CreditCardAdapter
2026-07-21 08:53:31,881 | INFO | Fraudec | Loading D:\AIML and Python (Workspace)\project\Fraudec-AI\datasets\raw\creditcard.csv
2026-07-21 08:53:33,797 | INFO | Fraudec | Dataset validation successful.
2026-07-21 08:53:34,730 | INFO | Fraudec | Removed 1081 duplicate rows.
2026-07-21 08:54:28,694 | INFO | Fraudec | ============================================================
2026-07-21 08:54:28,696 | INFO | Fraudec | Starting Fraudec Data Pipeline
2026-07-21 08:54:28,696 | INFO | Fraudec | ============================================================
2026-07-21 08:54:28,696 | INFO | Fraudec | Running CreditCardAdapter
2026-07-21 08:54:28,696 | INFO | Fraudec | Loading D:\AIML and Python (Workspace)\project\Fraudec-AI\datasets\raw\creditcard.csv
2026-07-21 08:54:30,727 | INFO | Fraudec | Dataset validation successful.
2026-07-21 08:54:31,701 | INFO | Fraudec | Removed 1081 duplicate rows.
2026-07-21 08:54:33,298 | INFO | Fraudec | Saved normalized dataset -> D:\AIML and Python (Workspace)\project\Fraudec-AI\datasets\normalized\creditcard_normalized.parquet
2026-07-21 08:54:33,314 | INFO | Fraudec | ============================================================
2026-07-21 08:54:33,316 | INFO | Fraudec | Pipeline Completed Successfully
2026-07-21 08:54:33,316 | INFO | Fraudec | ============================================================
2026-07-21 09:11:45,727 | INFO | Fraudec | Loading creditcard_normalized.parquet
2026-07-21 09:11:46,218 | INFO | Fraudec | Unified Shape : (283726, 37)
2026-07-21 09:11:46,677 | INFO | Fraudec | Unified Dataset Saved.
2026-07-21 09:11:46,712 | INFO | Fraudec | ============================================================
2026-07-21 09:11:46,714 | INFO | Fraudec | Starting Fraudec Data Pipeline
2026-07-21 09:11:46,715 | INFO | Fraudec | ============================================================
2026-07-21 09:11:46,715 | INFO | Fraudec | Running CreditCardAdapter
2026-07-21 09:11:46,715 | INFO | Fraudec | Loading D:\AIML and Python (Workspace)\project\Fraudec-AI\datasets\raw\creditcard.csv
2026-07-21 09:11:48,557 | INFO | Fraudec | Dataset validation successful.
2026-07-21 09:11:49,516 | INFO | Fraudec | Removed 1081 duplicate rows.
2026-07-21 09:11:50,046 | INFO | Fraudec | Saved normalized dataset -> D:\AIML and Python (Workspace)\project\Fraudec-AI\datasets\normalized\creditcard_normalized.parquet
2026-07-21 09:11:50,065 | INFO | Fraudec | Running PaySimAdapter
2026-07-21 09:11:50,066 | INFO | Fraudec | Loading D:\AIML and Python (Workspace)\project\Fraudec-AI\datasets\raw\paysim.csv
2026-07-21 09:13:27,571 | INFO | Fraudec | Loading creditcard_normalized.parquet
2026-07-21 09:13:27,929 | INFO | Fraudec | Unified Shape : (283726, 37)
2026-07-21 09:13:28,369 | INFO | Fraudec | Unified Dataset Saved.
